ORG_UNIT_NO,FULL_NAME,Postal Address,Physical Address,Email,Phone,Fax,Contact,Portfolio,Enrolment,Description
5461,Brooklyn Park Private Kindergarten,,"21 Lipsett Terrace, Brooklyn Park SA 5032",kjmahony@bigpond.com,(08) 8293 6744,,Ms Kerry Mahony,,,Child Care Centres
4765,Burnside Child Care Centre,,"362 Portrush Road, Tusmore SA 5065",lyn@burnsidechildcare.com.au,(08) 8332 3728,(08) 8431 9400,Ms Lynda Taylor,,,Child Care Centres
4179,Burton Road Child Care and Early Learning Centre,"PO Box 2267, Salisbury Downs SA 5108","144 Burton Road, Paralowie SA 5108",brcelc@burtonrdchildcare.com.au,(08) 8285 1480,(08) 8285 1485,Mrs Tammy Hall,,,Child Care Centres
6950,CaFE Enfield Children's Centre Child Care,,"17A Wilkins Street, Enfield SA 5085",dl.5363.administration@schools.sa.edu.au,(08) 8342 3329,(08) 8342 3309,Ms Joan Gilbert,,,Child Care Centres
3704,Camden Community Child Care,,"7 Carlisle Street, Camden Park SA 5038",caroline.bleach@camden.org.au,(08) 8294 8044,(08) 8376 0885,Ms Caroline Bleach,,,Child Care Centres
5706,Camden Park Child Care Centre,,"13-15 Carlisle Street, Camden Park SA 5038",directors@camdenparkccc.com.au,(08) 8295 7844,(08) 8376 8904,Ms Karen Drysdale,,,Child Care Centres
4725,Campbelltown Community Children's Ctr Child Care,,"163A Montacute Road, Newton SA 5074",accounts@campbelltownccc.com.au,(08) 8336 2100,(08) 8336 9256,Ms Monika Cardillo,,,Child Care Centres
5309,Carma Playhouse,,"47 Helen Street, Mount Gambier SA 5290",cp@managementgurus.com.au,(08) 8724 9575,(08) 8723 4732,Ms Jennifer Turner,,,Child Care Centres
6034,Carol Murray Children's Centre Child Care,,"1 Dinning Terrace, Bordertown SA 5268",dl.6507.leaders@schools.sa.edu.au,(08) 8752 1374,(08) 8752 0463,Ms Debra Downing,,,Child Care Centres
5279,Cedars Montessori Pre-school,,"52 Oxford Terrace, Unley SA 5061",cedarsmontessori@hotmail.com,(08) 8373 4599,,Mrs Barbara Nache,,,Child Care Centres
6703,Ceduna Community Children's Centre,"PO Box 588, Ceduna SA 5690","1 Merghiny Drive, Ceduna SA 5690",cedunachildcare@bigpond.com,(08) 8625 2863,(08) 8625 2863,Ms Katina Karam,,,Child Care Centres
2710,Cheeky Monkey's Early Learning Child Care Centre,,"24 Keller Road, Salisbury East SA 5109",cheeekymonkeyselchildcare@gmail.com,(08) 8182 4200,(08) 8182 6444,Ms Veronica Blyth,,,Child Care Centres
5289,Children's Educational Care Centre (SA) Pty Ltd,,"531-533 Glynburn Road, Hazelwood Park SA 5066",director@cecchildcare.com.au,(08) 8364 5466,(08) 8364 5466,Ms Sarah Causer,,,Child Care Centres
5740,City Community Children's Ctr - Gilbert Street Cps,,"104 Gilbert Street, Adelaide SA 5000",deb@cityccc.org.au,(08) 8212 2377,(08) 8221 6615,Ms Debbie Carman,,,Child Care Centres
5737,City Community Children's Ctr - Norman Street Cps,"104 Gilbert Street, Adelaide SA 5000","32 Norman Street, Adelaide SA 5000",deb@cityccc.org.au,(08) 8410 4077,(08) 8221 6615,Ms Debbie Carman,,,Child Care Centres
5764,City West Child Care Centre,"c/- Adelaide Inst of TAFE, GPO Box 1872, Adelaide SA 5000","222-228 Waymouth Street, Adelaide SA 5000",childcarecitywest@unisa.edu.au,(08) 8417 4200,,Ms Nahid Mehraein,,,Child Care Centres
3005,Clare Valley Children's Centre Child Care,"PO Box 716, Clare SA 5453","Cnr of Blyth Road and Elliot Street, Clare SA 5453",dl.6665.info@schools.sa.edu.au,(08) 8842 2483,(08) 8842 3284,Ms Airlie Meyer,,,Child Care Centres
4779,Colonel Light Gardens World of Learning,,"57 Salisbury Crescent, Colonel Light Gardens SA 5041",colonellightgardens@worldoflearning.com.au,(08) 8272 9399,(08) 8272 9379,Ms Melaine Excell,,,Child Care Centres
4707,Community CCC at Flinders Medical Centre,,"Pediatric Unit, Flinders Medical Centre, Flinders Drive, Bedford Park SA 5042",fmc.childcarefmc@health.sa.gov.au,(08) 8204 5306,(08) 8204 5307,Mr Martin Kenny,,,Child Care Centres
4742,Community Kids Ashford Early Education Centre,,"62-64 Anzac Highway, Everard Park SA 5035",ashford@communitykids.net.au,(08) 8351 2222,(08) 8351 2222,Ms Melaine Excell,,,Child Care Centres
3028,Community Kids Blossomvale Early Education Centre,,"1 Aldersey Street, McLaren Vale SA 5171",blossomvale@communitykids.net.au,(08) 8323 9992,(08) 8323 9994,Ms Melaine Excell,,,Child Care Centres
4997,Community Kids Davoren Park Early Education Centre,,"15 Fordingbridge Road, Davoren Park SA 5113",davorenpark@communitykids.net.au,(08) 8287 5581,(08) 8287 5206,Ms Melaine Excell,,,Child Care Centres
5372,Community Kids Greenacres Early Education Centre,,"3-5 Rellum Road, Greenacres SA 5086",greenacres@communitykids.net.au,(08) 8261 0311,(08) 8261 0411,Ms Katie Gibbs,,,Child Care Centres
3754,Community Kids Kadina Early Education Centre,,"58 Port Road, Kadina SA 5554",kadina@communitykids.net.au,(08) 8821 1125,(08) 8821 1130,Ms Melaine Excell,,,Child Care Centres
3004,Community Kids McLaren Vale Early Education Centre,,"224-226 Main Road, McLaren Vale SA 5171",mclarenvale@communitykids.net.au,(08) 8323 9554,(08) 8323 9668,Ms Melaine Excell,,,Child Care Centres
7787,Community Kids Montebello Early Education Centre,,"73 Suttontown Road, Mount Gambier SA 5290",montebello@communitykids.net.au,(08) 8724 7322,(08) 8724 7786,Ms Melaine Excell,,,Child Care Centres
4743,Community Kids Mount Gambier Early Education Ctr,,"25 Wireless Road, Mount Gambier SA 5290",mtgambier@communitykids.net.au,(08) 8723 5422,(08) 8723 5433,Ms Melaine Excell,,,Child Care Centres
5371,Community Kids Murray Bridge Early Education Ctre,"PO Box 515, Varsity Lakes QLD 4227","1 Prosser Terrace, Murray Bridge SA 5253",murraybridge@communitykids.net.au,(08) 8531 3299,,Ms Melaine Excell,,,Child Care Centres
3035,Confident Kids Child Care & Early Learning Centre,,"67 Regency Road, Croydon Park SA 5008",info@confidentkidseducation.com.au,(08) 7078 0129,,Ms Olivia Greiner,,,Child Care Centres
4737,Conyngham Street Community Children's Centre,,"34 Conyngham Street, Glenside SA 5065",admin@csccc.com.au,(08) 8379 3292,(08) 8338 5568,Ms Katie Lee Lazzaris,,,Child Care Centres
5400,Creative Garden Early Learning Centre North Lakes,"PO Box 2005, Salisbury Downs SA 5108","917 Stebonheath Road, Munno Para West SA 5115",northlakes@creativegarden.com.au,(08) 8284 0129,(08) 8254 9051,Ms Amanda Owens,,,Child Care Centres
4176,Crittenden Road Early Learning and Kinder,,"36 Crittenden Road, Smithfield Plains SA 5114",director@crittendenroadelc.com.au,(08) 8254 8520,,Ms Adele Brown,,,Child Care Centres
5734,Daphne Street Child Care and Specialist ELC,,"26 Daphne Street, Prospect SA 5082",daphneadmin@anglicare-sa.ans.au,(08) 8269 8688,(08) 8342 9660,Ms Brooke Spencer,,,Child Care Centres
3033,Daws Road Early Learning Centre,,"155-157 Daws Road, St Marys SA 5042",ahands2@bigpond.com,(08) 8277 2680,(08) 8370 7965,Ms Alexandra Hands,,,Child Care Centres
3737,Diagonal Road Community Child Care Centre,"PO Box 115, Oaklands Park SA 5046","326-328 Diagonal Road, Sturt SA 5047",diagrd@sa.chariot.net.au,(08) 8296 7776,(08) 8358 3616,Mrs Carolyn White,,,Child Care Centres
3764,Early Steps Child Care Centre,"PO Box 345, Ingle Farm SA 5098","346-348 Montague Road, Para Vista SA 5093",earlysteps@internode.on.net,(08) 8263 3933,(08) 8263 3944,Ms Michelle Lomman,,,Child Care Centres
4197,Edge Kids Life,"PO Box 106, Reynella SA 5161","255 Old South Road, Reynella SA 5161",enquiries.reynella@edgekidslife.com.au,(08) 8329 2221,(08) 8322 8101,Ms Bethany Penley,,,Child Care Centres
5444,Edge Kids Life Findon,"PO Box 106, Reynella SA 5161","241 Grange Road, Findon SA 5023",enquiries@edgekidslife.com.au,(08) 8445 2770,,Ms Tammy Cuthill,,,Child Care Centres
5701,Emali Early Learning Centre - Athol Park,,"13 Gateshead Street, Athol Park SA 5012",info_atholpark@emali.com.au,(08) 8447 6333,,Ms Tina Schoenau,,,Child Care Centres
5481,Emali Early Learning Centre - Brighton,"GPO Box 2801, Adelaide SA 5000","397 Brighton Road, Brighton SA 5048",info_brighton@emali.com.au,(08) 8358 5384,,Ms Tamie Fraser,,,Child Care Centres
3997,Emali Early Learning Centre - Broadview,,"611 Regency Road, Broadview SA 5083",info_broadview@emali.com.au,(08) 8266 6895,,Ms Rachael Masters,,,Child Care Centres
5903,Emali Early Learning Centre - Hectorville,,"38 Montacute Road, Hectorville SA 5073",info_hectorville@emali.com.au,(08) 8365 7571,(08) 8365 7591,Ms Senka Jelic,,,Child Care Centres
5902,Emali Early Learning Centre - Salisbury,,"60 Winzor Street, Salisbury SA 5108",info_salisbury@emali.com.au,(08) 8258 5880,(08) 8258 3011,Ms Hana Aki,,,Child Care Centres
5506,Emali Early Learning Centre - Findon,,"127 Findon Road, Findon SA 5023",info@emali.com.au,(08) 8232 8071,,Ms Rachael Masters,,,Child Care Centres
5521,Emali Early Learning Centre - Morphett Vale,,"215 Main South Road, Morphett Vale SA 5162",info_morphettvale@email.com.au,(08) 8186 6166,,Ms Kym Storm,,,Child Care Centres
3749,Emu Community Children's Centre Inc,,"52 Wheatsheaf Road, Morphett Vale SA 5162",emuccc@bigpond.com,(08) 8384 8273,(08) 8186 1373,Ms Brianne Jaeger,,,Child Care Centres
4207,Encounter Lutheran Early Learning Centre,,"64 Adelaide Road, Victor Harbor SA 5211",ctorok@encounter.sa.edu.au,(08) 8552 8880,(08) 8552 8833,Ms Celeste Torok,,,Child Care Centres
5757,Export Park Child Care Centre & Kindergarten,,"2 Graham Street, Export Park SA 5950",exportpark@gelcmail.com.au,(08) 8234 4731,(08) 8234 4731,Ms Tracey Thornhill,,,Child Care Centres
6985,Felixstow World of Learning,,"1 Wicks Avenue, Felixstow SA 5070",felixstow@worldoflearning.com.au,(08) 8336 7111,(08) 8336 7333,Ms Bronwyn Riley,,,Child Care Centres
5015,First Steps @ Albert Park,,"18-20 Botting Street, Albert Park SA 5014",info@firststepsalbertpark.com.au,(08) 8244 4224,,Ms Sue Paprzycki,,,Child Care Centres
3642,Fleurieu Occasional Community Children's Centre,"PO Box 559, Noarlunga Centre SA 5168","Alexander Kelly Drive, Noarlunga Centre SA 5168",fleurieuchildcare@bigpond.com,(08) 8326 2333,,Ms Julianne Warman,,,Child Care Centres
3999,Flinders University Child Care Centre,,"Sturt Drive, Bedford Park SA 5042",director@flinderschildren.com.au,(08) 8201 2881,(08) 8201 3971,Ms Megan Scott,,,Child Care Centres
4703,Flinders University Sturt Campus CCC,"Flinders University, Bedford Park SA 5042","Sturt Drive, Bedford Park SA 5042",director@flinderschildren.com.au,(08) 8201 2881,,Ms Megan Scott,,,Child Care Centres
5429,Forbes Children's Centre Child Care,,"80 Thomas Street, South Plympton SA 5038",dl.3641.leaders@schools.sa.edu.au,(08) 8293 9000,(08) 8351 0470,Ms Roslyn Usher,,,Child Care Centres
2736,Gawler Community Child Care Centre,,"Finch Road, Gawler East SA 5118",director@gawlerchildcare.com.au,(08) 8522 2079,(08) 8523 5248,Mrs Jeannine John,,,Child Care Centres
5305,Gladys Smith Early Learning Centre,"PO Box 27, Millicent SA 5280","60 Bonshor Street, Millicent SA 5280",childcare@wattlerange.sa.gov.au,(08) 8733 3030,(08) 8733 3066,Ms Clara Walker,,,Child Care Centres
5708,Glandore Private Kindergarten & Child Care Centre,,"178-180 Anzac Highway, Glandore SA 5037",glandorechildcare@bigpond.com,(08) 8293 6744,(08) 8293 6754,Ms Kerry Mahony,,,Child Care Centres
5739,Glenelg Community Child Care Centre,,"28 Kibby Avenue, Glenelg North SA 5045",gcccc@bigpond.net.au,(08) 8295 7936,(08) 8295 8779,Ms Kathryn Heathfield,,,Child Care Centres
4722,Golden Grove Homestead Community Children's Centre,,"1 Erudite Court, Golden Grove SA 5125",homestead@homesteadccc.com.au,(08) 8289 2266,(08) 8289 4411,Ms Leanne Barker,,,Child Care Centres
5379,Golden Grove World of Learning,,"Cnr Golden and Grove Way, Golden Grove SA 5125",goldengrove@worldoflearning.com.au,(08) 8251 6999,(08) 8251 6969,Ms Melaine Excell,,,Child Care Centres
3703,Goldilocks Child Care Centre,,"1 Portland Avenue, Sturt SA 5047",goldilocks@akachildcare.com.au,(08) 8377 2299,(08) 8377 0652,Ms Lisa Bishop,,,Child Care Centres
3006,Goodstart Early Learning - Aberfoyle Park,,"1 Windebanks Road, Aberfoyle Park SA 5159",abp@goodstart.org.au,(08) 8387 4511,(08) 8387 9314,Ms Rachelle Lohmeyer,,,Child Care Centres
4783,Goodstart Early Learning - Angle Park,,"19-25 Cowan Street, Angle Park SA 5010",ang@goodstart.org.au,(08) 8244 1488,,Ms Donna Seaton,,,Child Care Centres
3728,Goodstart Early Learning - Bedford Park,,"Hugh Cairns Avenue, Bedford Park SA 5042",scp@goodstart.org.au,(08) 8357 5436,(08) 8357 5438,Ms Linda Macey,,,Child Care Centres
4706,Goodstart Early Learning - Belair,,"22 Main Road, Belair SA 5052",bei@goodstart.org.au,(08) 8278 5947,,Ms Paula Pittman,,,Child Care Centres
5391,Goodstart Early Learning - Blackwood,,"39 Coromandel Parade, Blackwood SA 5051",ncw@goodstart.org.au,(08) 8278 4266,,Ms Tara Harnett,,,Child Care Centres
6039,Goodstart Early Learning - Blakeview,,"66-72 Park Lake Boulevard, Blakeview SA 5114",huk@goodstart.org.au,(08) 8254 9575,,Ms Melissa Griffiths,,,Child Care Centres
4999,Goodstart Early Learning - Brighton Road,,"444 Brighton Road, Brighton SA 5048",bgn@goodstart.org.au,(08) 8377 0488,,Ms Tara Harnett,,,Child Care Centres
6866,Goodstart Early Learning - Campbelltown,,"24 Gorge Road, Campbelltown SA 5074",hta@goodstart.org.au,(08) 8336 9570,(08) 8336 9121,Ms Christian Gava,,,Child Care Centres
3722,Goodstart Early Learning - Clapham,,"89 Springbank Road, Clapham SA 5062",cct@goodstart.org.au,(08) 8374 2800,,Ms Hannah Payne,,,Child Care Centres
4190,Goodstart Early Learning - Clovelly Park,,"4 Janet Street, Clovelly Park SA 5042",cvp@goodstart.org.au,(08) 8277 2711,,Ms Tara Harnett,,,Child Care Centres
5291,Goodstart Early Learning - Elizabeth Vale,,"9 Everleigh Road, Elizabeth Vale SA 5112",ebv@goodstart.org.au,(08) 8252 8539,(08) 8252 9016,Ms Mary Baker,,,Child Care Centres
4193,Goodstart Early Learning - Gawler South,,"37 Twelfth Street, Gawler South SA 5118",gas@goodstart.org.au,(08) 8523 1488,,Ms Tara Harnett,,,Child Care Centres
3726,Goodstart Early Learning - Glenelg,,"122-126 Tapleys Hill Road, Glenelg North SA 5045",gle@goodstart.org.au,(08) 8376 1833,,Ms Natasha Olrich,,,Child Care Centres
5386,Goodstart Early Learning - Hackham,,"90-92 Penneys Hill Road, Hackham SA 5163",pey@goodstart.org.au,(08) 8186 1322,,Ms Tara Harnett,,,Child Care Centres
4708,Goodstart Early Learning - Hope Valley,,"1178-1180 Grand Junction Road, Hope Valley SA 5090",hva@goodstart.org.au,(08) 8264 1277,,Ms Katice Martin,,,Child Care Centres
5300,Goodstart Early Learning - Ingle Farm Kylie Cres,,"10-18 Kylie Crescent, Ingle Farm SA 5098",hcg@goodstart.org.au,(08) 8265 4111,,Ms Amy Daniels,,,Child Care Centres
5362,Goodstart Early Learning - Ingle Farm Roopena St,,"2 Roopena Street, Ingle Farm SA 5098",ing@goodstart.org.au,(08) 8395 9544,,Ms Kate Trepic,,,Child Care Centres
4776,Goodstart Early Learning - Linden Park,,"418 Portrush Road, Linden Park SA 5065",lrk@goodstart.org.au,(08) 8338 1464,(08) 8379 9836,Ms Marrie Mather,,,Child Care Centres
3708,Goodstart Early Learning - Magill,,"38-40 Moules Road, Magill SA 5072",mag@goodstart.org.au,(08) 8364 1648,,Ms Paula Pittman,,,Child Care Centres
4726,Goodstart Early Learning - Marleston,,"293-295 Marion Road, Marleston SA 5033",mst@goodstart.org.au,(08) 8297 6422,,Ms Tara Harnett,,,Child Care Centres
5323,Goodstart Early Learning - Mawson Lakes Avocet Drv,,"1-11 Avocet Drive, Mawson Lakes SA 5095",mlk@goodstart.org.au,(08) 8262 7633,,Ms Lisa Morgan,,,Child Care Centres
5393,Goodstart Early Learning - Mawson Lakes Elder Drv,,"18-28 Elder Road, Mawson Lakes SA 5095",mlt@goodstart.org.au,(08) 8285 4020,,Ms Georgina Karipidis,,,Child Care Centres
3729,Goodstart Early Learning - Melrose Park,,"135 Edward Street, Melrose Park SA 5039",mrs@goodstart.org.au,(08) 8351 2266,,Ms Tania Steinert,,,Child Care Centres
3757,Goodstart Early Learning - Mount Gambier,,"19-25 Queens Avenue, Mount Gambier SA 5290",mtg@goodstart.org.au,(08) 8724 7334,,Ms Rebecca Devlin,,,Child Care Centres
5395,Goodstart Early Learning - Nuriootpa,,"9-11 Vine Street, Nuriootpa SA 5355",nro@goodstart.org.au,(08) 8562 4150,,Ms Karen Hale,,,Child Care Centres
4762,Goodstart Early Learning - Oakbank,,"205 Main Road, Oakbank SA 5243",oab@goodstart.org.au,(08) 8388 4451,,Ms Tara Harnett,,,Child Care Centres
5365,Goodstart Early Learning - Old Reynella,,"101 Pimpala Road, Old Reynella SA 5161",rey@goodstart.org.au,(08) 8322 6311,,Ms Tara Harnett,,,Child Care Centres
5401,Goodstart Early Learning - Osborne,,"Lot 19-22 Brookman Street, Osborne SA 5017",obn@goodstart.org.au,(08) 8248 2355,(08) 8248 2833,Ms Angela Yates-Taylor,,,Child Care Centres
3700,Goodstart Early Learning - Parafield Gardens,,"121 Shepherdson Road, Parafield Gardens SA 5107",pgd@goodstart.org.au,(08) 8285 8011,,Ms Jody Innes,,,Child Care Centres
5322,Goodstart Early Learning - Paralowie Byron Bay Drv,,"14-18 Byron Bay Drive, Paralowie SA 5108",pwe@goodstart.org.au,(08) 8283 2900,,Ms Jill Rogers,,,Child Care Centres
3750,Goodstart Early Learning - Paralowie Yalumba Drive,,"27-29 Yalumba Drive, Paralowie SA 5108",hho@goodstart.org.au,(08) 8182 6230,,Ms Tara Harnett,,,Child Care Centres
4741,Goodstart Early Learning - Payneham,,"403-407 Payneham Road, Felixstow SA 5070",pay@goodstart.org.au,(08) 8365 0105,,Ms Justine Teakle,,,Child Care Centres
2739,Goodstart Early Learning - Penfield,,"201 Argent Road, Penfield SA 5121",hhp@goodstart.org.au,(08) 8284 7144,,Ms Tara Harnett,,,Child Care Centres
6036,Goodstart Early Learning - Plympton,,"337 Anzac Highway, Plympton SA 5038",ply@goodstart.org.au,(08) 8371 4123,,Ms Tara Harnett,,,Child Care Centres
2738,Goodstart Early Learning - Pooraka,,"124 Henderson Avenue, Pooraka SA 5095",poa@goodstart.org.au,(08) 8262 4117,(08) 8262 7355,Ms Lisa Bartlett,,,Child Care Centres
5726,Goodstart Early Learning - Prospect,,"44 Prospect Road, Prospect SA 5082",pro@goodstart.org.au,(08) 8344 5933,,Ms Romana De Angelis,,,Child Care Centres
4178,Goodstart Early Learning - Salisbury North,,"102-112 Diment Road, Salisbury North SA 5108",san@goodstart.org.au,(08) 8283 3339,,Ms Tara Harnett,,,Child Care Centres
4189,Goodstart Early Learning - Seaford Rise,,"157 Griffiths Drive, Seaford Rise SA 5169",srs@goodstart.org.au,(08) 8327 4511,,Ms Vanessa Hateley,,,Child Care Centres
5275,Goodstart Early Learning - Semaphore Park,,"198 Bower Road, Semaphore Park SA 5019",sem@goodstart.org.au,(08) 8341 7377,,Ms Sharon McGregor,,,Child Care Centres
5347,Goodstart Early Learning - Semaphore South,,"59-65 Bower Road, Semaphore South SA 5019",sms@goodstart.org.au,(08) 8449 1488,,Ms Karen Prime,,,Child Care Centres
3007,Goodstart Early Learning - Sheidow Park Young St,,"1A Young Street, Sheidow Park SA 5158",she@goodstart.org.au,(08) 8322 8855,,Ms Claire Elliott,,,Child Care Centres
3719,Goodstart Early Learning - Sheidow Pk Hutt Close,,"1 Hutt Close, Sheidow Park SA 5158",shp@goodstart.org.au,(08) 8387 4000,,Ms Cynthia Higgins,,,Child Care Centres
4998,Goodstart Early Learning - Smithfield,,"2D Morialta Drive, Smithfield SA 5114",sfc@goodstart.org.au,(08) 8254 4299,,Ms Ashlea Scheisser,,,Child Care Centres
5367,Goodstart Early Learning - Whyalla,,"46-48 Beerworth Avenue, Whyalla SA 5600",why@goodstart.org.au,(08) 8645 8588,,Ms Susan Keating,,,Child Care Centres
4720,Goodwood Community Child Care Centre,,"31 Rosa Street, Goodwood SA 5034",gwdccare@bigpond.com,(08) 8272 1666,(08) 8272 1474,Ms Lisa Corigliano,,,Child Care Centres
3720,Goolwa Children's Centre Child Care,,"Brooking Street, Goolwa SA 5214",jill.griffen532@schools.sa.edu.au,(08) 8555 2509,(08) 8555 1565,Ms Jillian Griffen,,,Child Care Centres
5482,Seaford Meadows Early Learning Centre,"PO Box 952, Southport QLD 4215","1 Jackstaff Street, Seaford Meadows SA 5169",welcome@seafordmeadowselc.com.au,(08) 8327 6437,,Brianna Melville,,,Child Care Centres
4042,Greenwith Child Care Centre & Kindergarten,,"1699 Golden Grove Road, Greenwith SA 5125",admin@greenwithchildcare.com.au,(08) 8289 7311,(08) 8289 7577,Ms Eleni Foster,,,Child Care Centres
5376,Hackham West Children's Centre Child Care,,"9 Vintners Walk, Hackham West SA 5163",dl.3638.leaders@schools.sa.edu.au,(08) 8382 6161,(08) 8326 8268,Ms Maddy Stewardson,,,Child Care Centres
3753,Hallett Cove Community Children's Centre Inc,,"5 Ramrod Avenue, Hallett Cove SA 5158",hcccc@internode.on.net,(08) 8387 2374,(08) 8387 6824,Ms Mandy Karriem,,,Child Care Centres
4718,Hawthorn Child Care Centre,,"110 Belair Road, Hawthorn SA 5062",kidz@chariot.net.au,(08) 8373 5010,(08) 8373 5870,Ms Guitta Ackarie,,,Child Care Centres
2742,Highway Child Care & Early Learning Centre,,"267 Salisbury Highway, Salisbury Downs SA 5108",highwayccc@adam.com.au,(08) 8258 4170,(08) 8258 4053,Ms Janine Griffin,,,Child Care Centres
2728,Hillbank Community Children's Centre,,"Penarth Court, Hillbank SA 5112",hcccc99@bigpond.com.au,(08) 8252 3455,(08) 8252 5380,Mrs Melissa Thompson,,,Child Care Centres
4740,Hyde Park Nursery School and Early Learning Centre,,"208 Wattle Street, Malvern SA 5061",wendyselc@bigpond.com,(08) 8271 6757,(08) 8271 1446,Mrs Samantha Payze,,,Child Care Centres
6983,Ignatius Early Years,,"58 Queen Street, Norwood SA 5067",rosemary.allen@ignatius.sa.edu.au,(08) 8130 7180,(08) 8130 7197,Ms Rosemary Allen,,,Child Care Centres
4041,il nido Children's Centre Child Care,,"22 Campbell Road, Paradise SA 5075",dl.4609.leaders@schools.sa.edu.au,(08) 8365 3839,(08) 8365 3423,Ms Rebecca Heath,,,Child Care Centres
6624,Jamestown Community Children's Centre,,"Humphris Terrace, Jamestown SA 5491",dl.6624_leaders@schools.sa.edu.au,(08) 8664 1276,,Ms Vicki Reichelt,,,Child Care Centres
5312,Judy's Childcare & Early Learning Centre,,"1 Scheibener Terrace, Gawler SA 5118",judys.childcare1@iinet.com.au,(08) 8522 6662,,Ms Judith Wotton,,,Child Care Centres
2706,Kadina Child Care Centre,,"19 Doswell Terrace, Kadina SA 5554",admin@kadinaccc.org.au,(08) 8821 3709,,Ms Sandra Price,,,Child Care Centres
5625,Kangaroo Island Children's Services - Kingscote,,"50 Buller Street, Kingscote SA 5223",kics.info3@schools.sa.edu.au,(08) 8553 2436,(08) 8553 2483,Ms Hayley Perry,,,Child Care Centres
